id,forecast_name,horizon,start_date,accuracy,status,created_by,created_at
37,Monthly Forecast Run 037,6 Months,2025-09-01,96.58,Completed,Swati Iyer,2025-09-09 16:44:44
38,Monthly Forecast Run 038,6 Months,2025-10-01,93.27,Completed,Varun Singh,2026-08-04 10:23:19
39,Monthly Forecast Run 039,6 Months,2025-11-01,92.37,Completed,Vijay Kulkarni,2026-07-17 12:23:43
40,Monthly Forecast Run 040,6 Months,2025-12-01,91.7,Completed,Vikram Bhat,2026-10-06 15:52:20
41,Monthly Forecast Run 041,6 Months,2026-01-01,82.56,Completed,Aarav Kumar,2026-03-06 15:13:11
42,Monthly Forecast Run 042,6 Months,2026-02-01,90.96,Completed,Aditi Rao,2025-11-21 13:46:59
43,Monthly Forecast Run 043,6 Months,2026-03-01,90.74,Completed,Aditya Mehta,2026-02-12 10:44:08
44,Monthly Forecast Run 044,6 Months,2026-04-01,88.66,Completed,Akash Nair,2025-12-24 11:01:43
45,Monthly Forecast Run 045,6 Months,2026-05-01,92.22,Completed,Amar Das,2027-03-28 08:23:46
46,Monthly Forecast Run 046,6 Months,2026-06-01,85.45,Completed,Ananya Choudhary,2026-12-14 10:28:02
47,Monthly Forecast Run 047,6 Months,2026-07-01,91.06,Completed,Arjun Menon,2026-12-27 11:50:20
48,Monthly Forecast Run 048,6 Months,2026-08-01,85.1,Completed,Bhavna Sharma,2026-02-08 11:54:31
49,Monthly Forecast Run 049,6 Months,2026-09-01,96.9,Completed,Charan Naidu,2025-09-15 14:08:27
50,Monthly Forecast Run 050,6 Months,2026-10-01,86.97,Completed,Deepak Gupta,2027-03-14 17:45:08
